name,overall_runs,overall_innings,overall_balls,strike_rate,overall_notout,overall_average,zeros,thirties,fifties,centries,home_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,away_innings,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate
Mohammad Nawaz (3),13,2,21,61.90476190476191,0,6.5,0,0,0,0,,,,,,,,,,,2.0,13.0,0.0,6.5,21.0,61.904761904761905,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,6.5,21.0,61.904761904761905
Sikander Zulfiqar,14,3,15,93.33333333333331,0,4.666666666666667,0,0,0,0,3.0,14.0,0.0,4.666666666666667,15.0,93.33333333333333,0.0,0.0,0.0,0.0,,,,,,,,,,,3.0,14.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,15.0,93.33333333333333
Shoaib Malik,2166,99,1784,121.41255605381166,32,32.32835820895522,2,22,7,0,9.0,248.0,3.0,41.333333333333336,136.0,182.35294117647058,0.0,4.0,1.0,0.0,90.0,1918.0,29.0,31.442622950819672,1648.0,116.38349514563107,2.0,18.0,6.0,0.0,10.0,201.0,0.0,2.0,0.0,0.0,5.0,40.2,150.0,134.0
MD Shanaka,329,26,308,106.8181818181818,6,16.45,6,2,1,0,8.0,67.0,2.0,11.166666666666666,78.0,85.8974358974359,3.0,0.0,0.0,0.0,18.0,262.0,4.0,18.714285714285715,230.0,113.91304347826087,3.0,2.0,1.0,0.0,10.0,162.0,2.0,2.0,0.0,0.0,4.0,27.0,142.0,114.08450704225352
AJ Finch,1663,50,1095,151.87214611872147,9,40.5609756097561,2,12,9,2,20.0,576.0,6.0,41.142857142857146,415.0,138.79518072289156,1.0,6.0,4.0,0.0,30.0,1087.0,3.0,40.25925925925926,680.0,159.85294117647058,1.0,6.0,5.0,2.0,10.0,117.0,2.0,1.0,0.0,0.0,0.0,11.7,112.0,104.46428571428571
MA Starc,12,5,20,60.0,3,6.0,0,0,0,0,,,,,,,,,,,5.0,12.0,3.0,6.0,20.0,60.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,3.0,6.0,20.0,60.0
IA Karim,32,5,49,65.3061224489796,0,6.4,2,0,0,0,,,,,,,,,,,5.0,32.0,0.0,6.4,49.0,65.3061224489796,2.0,0.0,0.0,0.0,5.0,32.0,2.0,0.0,0.0,0.0,0.0,6.4,49.0,65.3061224489796
N Pradeep,0,2,6,0.0,1,0.0,2,0,0,0,,,,,,,,,,,2.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0
CD Wallace,28,5,31,90.3225806451613,3,14.0,1,0,0,0,,,,,,,,,,,5.0,28.0,3.0,14.0,31.0,90.3225806451613,1.0,0.0,0.0,0.0,5.0,28.0,1.0,0.0,0.0,0.0,3.0,14.0,31.0,90.3225806451613
KOK Williams,6,4,10,60.0,1,2.0,1,0,0,0,,,,,,,,,,,4.0,6.0,1.0,2.0,10.0,60.0,1.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,1.0,2.0,10.0,60.0
BR McDermott,72,8,77,93.50649350649353,3,14.4,2,1,0,0,3.0,36.0,1.0,18.0,38.0,94.73684210526316,1.0,1.0,0.0,0.0,5.0,36.0,2.0,12.0,39.0,92.3076923076923,1.0,0.0,0.0,0.0,8.0,72.0,2.0,1.0,0.0,0.0,3.0,14.4,77.0,93.50649350649351
MS Wade,239,17,223,107.17488789237667,5,19.916666666666668,0,1,1,0,5.0,144.0,2.0,48.0,107.0,134.57943925233644,0.0,1.0,1.0,0.0,12.0,95.0,3.0,10.555555555555555,116.0,81.89655172413794,0.0,0.0,0.0,0.0,10.0,95.0,0.0,0.0,0.0,0.0,4.0,15.833333333333334,94.0,101.06382978723404
PA van Meekeren,33,4,27,122.22222222222224,0,8.25,0,0,0,0,2.0,12.0,0.0,6.0,9.0,133.33333333333334,0.0,0.0,0.0,0.0,2.0,21.0,0.0,10.5,18.0,116.66666666666667,0.0,0.0,0.0,0.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,8.25,27.0,122.22222222222223
S Vesawkar,177,8,184,96.19565217391305,1,25.285714285714285,0,2,0,0,,,,,,,,,,,8.0,177.0,1.0,25.285714285714285,184.0,96.19565217391305,0.0,2.0,0.0,0.0,8.0,177.0,0.0,2.0,0.0,0.0,1.0,25.285714285714285,184.0,96.19565217391305
