,name,overall_runs,overall_innings,overall_balls,strike_rate,overall_notout,overall_average,zeros,thirties,fifties,centries,home_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_innings,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s
198,BRM Taylor,249,13,197,126.39593908629442,1,20.75,1,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,182.0,1.0,1.0,1.0,0.0,1.0,20.222222222222218,146.0,124.65753424657534,13.0,249.0,1.0,20.75,197.0,126.39593908629442,1.0,2.0,1.0,0.0
199,LMP Simmons,355,12,249,142.570281124498,3,39.444444444444436,0,0,3,0,6.0,196.0,1.0,39.2,113.0,173.4513274336283,0.0,0.0,1.0,0.0,10.0,346.0,0.0,0.0,3.0,0.0,3.0,49.42857142857143,233.0,148.49785407725318,6.0,159.0,2.0,39.75,136.0,116.91176470588236,0.0,0.0,2.0,0.0
200,KMA Paul,44,5,51,86.27450980392156,2,14.666666666666664,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,44.0,1.0,0.0,0.0,0.0,2.0,14.666666666666664,51.0,86.27450980392156,5.0,44.0,2.0,14.666666666666664,51.0,86.27450980392156,1.0,0.0,0.0,0.0
201,Taskin Ahmed,5,1,4,125.0,0,5.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,125.0,1.0,5.0,0.0,5.0,4.0,125.0,0.0,0.0,0.0,0.0
202,Samiullah Shenwari,45,2,52,86.53846153846153,0,22.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,0.0,22.5,52.0,86.53846153846153,2.0,45.0,0.0,22.5,52.0,86.53846153846153,0.0,0.0,0.0,0.0
203,Afif Hossain,168,11,139,120.863309352518,0,15.272727272727273,1,1,1,0,4.0,77.0,0.0,19.25,53.0,145.28301886792454,0.0,0.0,1.0,0.0,10.0,116.0,1.0,1.0,0.0,0.0,0.0,11.6,113.0,102.65486725663716,7.0,91.0,0.0,13.0,86.0,105.81395348837208,1.0,1.0,0.0,0.0
204,SW Poynter,70,5,52,134.61538461538458,5,inf,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,70.0,0.0,1.0,0.0,0.0,5.0,0.0,52.0,134.61538461538458,5.0,70.0,5.0,0.0,52.0,134.61538461538458,0.0,1.0,0.0,0.0
205,TL Chatara,0,1,1,0.0,0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
206,Usman Ghani,192,5,151,127.1523178807947,0,38.4,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,192.0,0.0,2.0,1.0,0.0,0.0,38.4,151.0,127.1523178807947,5.0,192.0,0.0,38.4,151.0,127.1523178807947,0.0,2.0,1.0,0.0
207,Junaid Siddiqui,2,1,2,100.0,1,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,100.0,1.0,2.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0
208,Waqas Khan,96,7,102,94.11764705882355,1,16.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,96.0,0.0,0.0,1.0,0.0,1.0,16.0,102.0,94.11764705882355,7.0,96.0,1.0,16.0,102.0,94.11764705882355,0.0,0.0,1.0,0.0
