name,overall_runs,overall_innings,overall_balls,strike_rate,overall_notout,overall_average,zeros,thirties,fifties,centries,home_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_innings,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s
H Masakadza,146,8,129,113.1782945736434,0,18.25,1,1,1,0,,,,,,,,,,,8.0,146.0,1.0,1.0,1.0,0.0,0.0,18.25,129.0,113.17829457364341,8.0,146.0,0.0,18.25,129.0,113.17829457364341,1.0,1.0,1.0,0.0
Izatullah Dawlatzai,24,1,12,200.0,1,inf,0,0,0,0,,,,,,,,,,,1.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,200.0,1.0,24.0,1.0,0.0,12.0,200.0,0.0,0.0,0.0,0.0
SP Narine,8,3,23,34.78260869565217,0,2.6666666666666665,0,0,0,0,1.0,2.0,0.0,2.0,6.0,33.333333333333336,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,23.0,34.78260869565217,2.0,6.0,0.0,3.0,17.0,35.294117647058826,0.0,0.0,0.0,0.0
Kaleemullah,9,1,6,150.0,0,9.0,0,0,0,0,,,,,,,,,,,1.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,150.0,1.0,9.0,0.0,9.0,6.0,150.0,0.0,0.0,0.0,0.0
MA Leask,75,7,59,127.1186440677966,0,10.714285714285714,1,1,0,0,,,,,,,,,,,7.0,75.0,1.0,1.0,0.0,0.0,0.0,10.714285714285714,59.0,127.11864406779661,7.0,75.0,0.0,10.714285714285714,59.0,127.11864406779661,1.0,1.0,0.0,0.0
JH Davey,28,3,20,140.0,2,28.0,0,0,0,0,,,,,,,,,,,3.0,28.0,0.0,0.0,0.0,0.0,2.0,28.0,20.0,140.0,3.0,28.0,2.0,28.0,20.0,140.0,0.0,0.0,0.0,0.0
JT Smuts,48,5,53,90.56603773584904,0,9.6,0,0,0,0,3.0,40.0,0.0,13.333333333333334,39.0,102.56410256410257,0.0,0.0,0.0,0.0,5.0,48.0,0.0,0.0,0.0,0.0,0.0,9.6,53.0,90.56603773584905,2.0,8.0,0.0,4.0,14.0,57.142857142857146,0.0,0.0,0.0,0.0
Asif Ali,101,10,103,98.05825242718448,1,11.22222222222222,0,0,0,0,4.0,43.0,0.0,10.75,50.0,86.0,0.0,0.0,0.0,0.0,10.0,101.0,0.0,0.0,0.0,0.0,1.0,11.222222222222221,103.0,98.05825242718447,6.0,58.0,1.0,11.6,53.0,109.43396226415095,0.0,0.0,0.0,0.0
Rohan Mustafa,244,14,224,108.92857142857144,0,17.428571428571427,1,3,0,0,10.0,171.0,0.0,17.1,161.0,106.2111801242236,1.0,2.0,0.0,0.0,10.0,165.0,1.0,2.0,0.0,0.0,0.0,16.5,137.0,120.43795620437956,4.0,73.0,0.0,18.25,63.0,115.87301587301587,0.0,1.0,0.0,0.0
Faheem Ashraf,118,10,86,137.2093023255814,1,13.11111111111111,0,2,0,0,4.0,52.0,1.0,17.333333333333332,34.0,152.94117647058823,0.0,1.0,0.0,0.0,10.0,118.0,0.0,2.0,0.0,0.0,1.0,13.11111111111111,86.0,137.2093023255814,6.0,66.0,0.0,11.0,52.0,126.92307692307692,0.0,1.0,0.0,0.0
