name,overall_runs,overall_innings,overall_balls,strike_rate,overall_notout,overall_average,zeros,thirties,fifties,centries,home_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_innings,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s
N Pooran,244,16,232,105.17241379310344,2,17.428571428571427,2,1,1,0,9.0,145.0,1.0,18.125,143.0,101.3986013986014,1.0,0.0,1.0,0.0,10.0,118.0,2.0,1.0,0.0,0.0,2.0,14.75,95.0,124.21052631578948,7.0,99.0,1.0,16.5,89.0,111.23595505617978,1.0,1.0,0.0,0.0
Jatinder Singh,442,14,361,122.4376731301939,4,44.2,1,3,3,0,,,,,,,,,,,10.0,315.0,1.0,2.0,2.0,0.0,4.0,52.5,246.0,128.0487804878049,14.0,442.0,4.0,44.2,361.0,122.4376731301939,1.0,3.0,3.0,0.0
HD Rutherford,0,1,1,0.0,0,0.0,1,0,0,0,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
BRM Taylor,249,13,197,126.39593908629442,1,20.75,1,2,1,0,,,,,,,,,,,10.0,182.0,1.0,1.0,1.0,0.0,1.0,20.22222222222222,146.0,124.65753424657534,13.0,249.0,1.0,20.75,197.0,126.39593908629442,1.0,2.0,1.0,0.0
LMP Simmons,355,12,249,142.570281124498,3,39.44444444444444,0,0,3,0,6.0,196.0,1.0,39.2,113.0,173.4513274336283,0.0,0.0,1.0,0.0,10.0,346.0,0.0,0.0,3.0,0.0,3.0,49.42857142857143,233.0,148.4978540772532,6.0,159.0,2.0,39.75,136.0,116.91176470588235,0.0,0.0,2.0,0.0
KMA Paul,44,5,51,86.27450980392157,2,14.666666666666666,1,0,0,0,,,,,,,,,,,5.0,44.0,1.0,0.0,0.0,0.0,2.0,14.666666666666666,51.0,86.27450980392157,5.0,44.0,2.0,14.666666666666666,51.0,86.27450980392157,1.0,0.0,0.0,0.0
Taskin Ahmed,5,1,4,125.0,0,5.0,0,0,0,0,,,,,,,,,,,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,125.0,1.0,5.0,0.0,5.0,4.0,125.0,0.0,0.0,0.0,0.0
Samiullah Shenwari,45,2,52,86.53846153846153,0,22.5,0,0,0,0,,,,,,,,,,,2.0,45.0,0.0,0.0,0.0,0.0,0.0,22.5,52.0,86.53846153846153,2.0,45.0,0.0,22.5,52.0,86.53846153846153,0.0,0.0,0.0,0.0
Afif Hossain,168,11,139,120.863309352518,0,15.272727272727272,1,1,1,0,4.0,77.0,0.0,19.25,53.0,145.28301886792454,0.0,0.0,1.0,0.0,10.0,116.0,1.0,1.0,0.0,0.0,0.0,11.6,113.0,102.65486725663717,7.0,91.0,0.0,13.0,86.0,105.81395348837209,1.0,1.0,0.0,0.0
SW Poynter,70,5,52,134.6153846153846,5,inf,0,1,0,0,,,,,,,,,,,5.0,70.0,0.0,1.0,0.0,0.0,5.0,0.0,52.0,134.6153846153846,5.0,70.0,5.0,0.0,52.0,134.6153846153846,0.0,1.0,0.0,0.0
TL Chatara,0,1,1,0.0,0,0.0,1,0,0,0,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Usman Ghani,192,5,151,127.1523178807947,0,38.4,0,2,1,0,,,,,,,,,,,5.0,192.0,0.0,2.0,1.0,0.0,0.0,38.4,151.0,127.1523178807947,5.0,192.0,0.0,38.4,151.0,127.1523178807947,0.0,2.0,1.0,0.0
Junaid Siddiqui,2,1,2,100.0,1,inf,0,0,0,0,,,,,,,,,,,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,100.0,1.0,2.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0
Waqas Khan,96,7,102,94.11764705882354,1,16.0,0,0,1,0,,,,,,,,,,,7.0,96.0,0.0,0.0,1.0,0.0,1.0,16.0,102.0,94.11764705882354,7.0,96.0,1.0,16.0,102.0,94.11764705882354,0.0,0.0,1.0,0.0
PJ Cummins,20,2,10,200.0,2,inf,0,0,0,0,,,,,,,,,,,2.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,200.0,2.0,20.0,2.0,0.0,10.0,200.0,0.0,0.0,0.0,0.0
A Balbirnie,736,25,546,134.7985347985348,2,32.0,1,9,3,0,3.0,137.0,1.0,68.5,76.0,180.26315789473685,0.0,1.0,1.0,0.0,10.0,242.0,1.0,4.0,0.0,0.0,0.0,24.2,212.0,114.15094339622641,22.0,599.0,1.0,28.523809523809526,470.0,127.44680851063829,1.0,8.0,2.0,0.0
MC Henriques,61,3,40,152.5,1,30.5,0,1,0,0,3.0,61.0,1.0,30.5,40.0,152.5,0.0,1.0,0.0,0.0,3.0,61.0,0.0,1.0,0.0,0.0,1.0,30.5,40.0,152.5,,,,,,,,,,
JJ Roy,291,11,221,131.67420814479638,0,26.454545454545453,2,4,1,0,,,,,,,,,,,10.0,221.0,2.0,4.0,0.0,0.0,0.0,22.1,183.0,120.76502732240438,11.0,291.0,0.0,26.454545454545453,221.0,131.67420814479638,2.0,4.0,1.0,0.0
MR Marsh,150,9,141,106.38297872340424,2,21.428571428571427,1,2,0,0,,,,,,,,,,,9.0,150.0,1.0,2.0,0.0,0.0,2.0,21.428571428571427,141.0,106.38297872340425,9.0,150.0,2.0,21.428571428571427,141.0,106.38297872340425,1.0,2.0,0.0,0.0
E Otieno,4,3,5,80.0,2,4.0,1,0,0,0,,,,,,,,,,,3.0,4.0,1.0,0.0,0.0,0.0,2.0,4.0,5.0,80.0,3.0,4.0,2.0,4.0,5.0,80.0,1.0,0.0,0.0,0.0
O Thomas,0,1,3,0.0,1,,1,0,0,0,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
WB Rankin,11,6,17,64.70588235294117,4,5.5,3,0,0,0,,,,,,,,,,,6.0,11.0,3.0,0.0,0.0,0.0,4.0,5.5,17.0,64.70588235294117,6.0,11.0,4.0,5.5,17.0,64.70588235294117,3.0,0.0,0.0,0.0
TD Astle,3,1,5,60.0,0,3.0,0,0,0,0,,,,,,,,,,,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,1.0,3.0,0.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0
TL Seifert,655,26,501,130.73852295409182,4,29.772727272727277,1,5,5,0,22.0,614.0,4.0,34.111111111111114,451.0,136.1419068736142,1.0,5.0,5.0,0.0,10.0,288.0,0.0,1.0,3.0,0.0,1.0,32.0,229.0,125.76419213973799,4.0,41.0,0.0,10.25,50.0,82.0,0.0,0.0,0.0,0.0
Mohammad Nadeem,68,9,90,75.55555555555556,3,11.333333333333334,2,0,0,0,,,,,,,,,,,9.0,68.0,2.0,0.0,0.0,0.0,3.0,11.333333333333334,90.0,75.55555555555556,9.0,68.0,3.0,11.333333333333334,90.0,75.55555555555556,2.0,0.0,0.0,0.0
SM Sharif,45,5,37,121.62162162162164,3,22.5,0,0,0,0,,,,,,,,,,,5.0,45.0,0.0,0.0,0.0,0.0,3.0,22.5,37.0,121.62162162162163,5.0,45.0,3.0,22.5,37.0,121.62162162162163,0.0,0.0,0.0,0.0
N Pokana,8,2,10,80.0,2,inf,0,0,0,0,,,,,,,,,,,2.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,80.0,2.0,8.0,2.0,0.0,10.0,80.0,0.0,0.0,0.0,0.0
K Rabada,32,4,33,96.96969696969695,1,10.666666666666666,1,0,0,0,4.0,32.0,1.0,10.666666666666666,33.0,96.96969696969697,1.0,0.0,0.0,0.0,4.0,32.0,1.0,0.0,0.0,0.0,1.0,10.666666666666666,33.0,96.96969696969697,,,,,,,,,,
PADLR Sandakan,19,5,27,70.37037037037037,2,6.333333333333333,0,0,0,0,1.0,1.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,2.0,6.333333333333333,27.0,70.37037037037037,4.0,18.0,1.0,6.0,26.0,69.23076923076923,0.0,0.0,0.0,0.0
MRJ Watt,21,4,18,116.66666666666669,3,21.0,0,0,0,0,,,,,,,,,,,4.0,21.0,0.0,0.0,0.0,0.0,3.0,21.0,18.0,116.66666666666667,4.0,21.0,3.0,21.0,18.0,116.66666666666667,0.0,0.0,0.0,0.0
DW Steyn,6,3,6,100.0,2,6.0,1,0,0,0,3.0,6.0,2.0,6.0,6.0,100.0,1.0,0.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,2.0,6.0,6.0,100.0,,,,,,,,,,
DT Tiripano,107,6,90,118.88888888888889,1,21.4,0,0,0,0,,,,,,,,,,,6.0,107.0,0.0,0.0,0.0,0.0,1.0,21.4,90.0,118.88888888888889,6.0,107.0,1.0,21.4,90.0,118.88888888888889,0.0,0.0,0.0,0.0
RR Pant,355,20,289,122.83737024221452,4,22.1875,2,3,1,0,14.0,214.0,2.0,17.833333333333332,187.0,114.43850267379679,1.0,2.0,0.0,0.0,10.0,187.0,1.0,2.0,0.0,0.0,2.0,23.375,151.0,123.84105960264901,6.0,141.0,2.0,35.25,102.0,138.23529411764707,1.0,1.0,1.0,0.0
SR Thompson,96,8,83,115.66265060240964,4,24.0,0,0,0,0,1.0,1.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,8.0,96.0,0.0,0.0,0.0,0.0,4.0,24.0,83.0,115.66265060240964,7.0,95.0,3.0,23.75,82.0,115.85365853658537,0.0,0.0,0.0,0.0
AR Patel,7,1,3,233.33333333333331,1,inf,0,0,0,0,1.0,7.0,1.0,0.0,3.0,233.33333333333334,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,233.33333333333334,,,,,,,,,,
R Mutumbami,178,10,135,131.85185185185185,1,19.77777777777778,1,1,1,0,,,,,,,,,,,10.0,178.0,1.0,1.0,1.0,0.0,1.0,19.77777777777778,135.0,131.85185185185185,10.0,178.0,1.0,19.77777777777778,135.0,131.85185185185185,1.0,1.0,1.0,0.0
Mahmudullah,256,12,203,126.10837438423646,3,28.444444444444443,0,2,1,0,5.0,140.0,1.0,35.0,116.0,120.6896551724138,0.0,1.0,1.0,0.0,10.0,198.0,0.0,1.0,1.0,0.0,3.0,28.285714285714285,147.0,134.69387755102042,7.0,116.0,2.0,23.2,87.0,133.33333333333334,0.0,1.0,0.0,0.0
JC Buttler,463,13,319,145.141065830721,3,46.3,1,1,5,0,2.0,121.0,1.0,121.0,85.0,142.35294117647058,0.0,1.0,1.0,0.0,10.0,389.0,1.0,1.0,4.0,0.0,3.0,55.57142857142857,275.0,141.45454545454547,11.0,342.0,2.0,38.0,234.0,146.15384615384616,1.0,0.0,4.0,0.0
CJA Amini,179,9,142,126.056338028169,3,29.83333333333333,2,2,1,0,2.0,79.0,1.0,79.0,49.0,161.22448979591837,0.0,0.0,1.0,0.0,9.0,179.0,2.0,2.0,1.0,0.0,3.0,29.833333333333332,142.0,126.05633802816901,7.0,100.0,2.0,20.0,93.0,107.52688172043011,2.0,2.0,0.0,0.0
KD Shah,424,19,373,113.67292225201072,4,28.266666666666666,2,2,3,0,,,,,,,,,,,10.0,155.0,2.0,0.0,1.0,0.0,2.0,19.375,132.0,117.42424242424242,19.0,424.0,4.0,28.266666666666666,373.0,113.67292225201072,2.0,2.0,3.0,0.0
N Dickwella,214,11,159,134.59119496855345,1,21.4,2,4,0,0,3.0,96.0,1.0,48.0,70.0,137.14285714285714,0.0,2.0,0.0,0.0,10.0,196.0,2.0,4.0,0.0,0.0,1.0,21.77777777777778,149.0,131.54362416107384,8.0,118.0,0.0,14.75,89.0,132.58426966292134,2.0,2.0,0.0,0.0
JA Richardson,30,5,28,107.14285714285714,3,15.0,0,0,0,0,,,,,,,,,,,5.0,30.0,0.0,0.0,0.0,0.0,3.0,15.0,28.0,107.14285714285714,5.0,30.0,3.0,15.0,28.0,107.14285714285714,0.0,0.0,0.0,0.0
JOA Gordon,1,1,2,50.0,1,inf,0,0,0,0,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0,1.0,1.0,1.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0
CJ Chibhabha,46,3,40,115.0,0,15.333333333333334,1,1,0,0,,,,,,,,,,,3.0,46.0,1.0,1.0,0.0,0.0,0.0,15.333333333333334,40.0,115.0,3.0,46.0,0.0,15.333333333333334,40.0,115.0,1.0,1.0,0.0,0.0
Mohammad Saifuddin,51,5,49,104.08163265306122,3,25.5,0,1,0,0,3.0,14.0,2.0,14.0,7.0,200.0,0.0,0.0,0.0,0.0,5.0,51.0,0.0,1.0,0.0,0.0,3.0,25.5,49.0,104.08163265306122,2.0,37.0,1.0,37.0,42.0,88.0952380952381,0.0,1.0,0.0,0.0
NLTC Perera,127,8,101,125.74257425742574,3,25.4,0,1,0,0,2.0,32.0,1.0,32.0,20.0,160.0,0.0,0.0,0.0,0.0,8.0,127.0,0.0,1.0,0.0,0.0,3.0,25.4,101.0,125.74257425742574,6.0,95.0,2.0,23.75,81.0,117.28395061728395,0.0,1.0,0.0,0.0
Khawar Ali,279,15,258,108.13953488372093,1,19.928571428571427,2,2,2,0,,,,,,,,,,,10.0,243.0,1.0,2.0,2.0,0.0,1.0,27.0,194.0,125.25773195876289,15.0,279.0,1.0,19.928571428571427,258.0,108.13953488372093,2.0,2.0,2.0,0.0
KA Pollard,489,15,331,147.73413897280966,3,40.75,1,6,3,0,5.0,140.0,0.0,28.0,95.0,147.3684210526316,1.0,2.0,1.0,0.0,10.0,335.0,1.0,4.0,2.0,0.0,1.0,37.22222222222222,196.0,170.91836734693877,10.0,349.0,3.0,49.857142857142854,236.0,147.88135593220338,0.0,4.0,2.0,0.0
CH Gayle,49,5,57,85.96491228070175,0,9.8,1,0,0,0,5.0,49.0,0.0,9.8,57.0,85.96491228070175,1.0,0.0,0.0,0.0,5.0,49.0,1.0,0.0,0.0,0.0,0.0,9.8,57.0,85.96491228070175,,,,,,,,,,
NM Coulter-Nile,4,1,8,50.0,0,4.0,0,0,0,0,,,,,,,,,,,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,50.0,1.0,4.0,0.0,4.0,8.0,50.0,0.0,0.0,0.0,0.0
GSNFG Jayasuriya,84,6,82,102.4390243902439,0,14.0,1,1,0,0,3.0,36.0,0.0,12.0,32.0,112.5,1.0,0.0,0.0,0.0,6.0,84.0,1.0,1.0,0.0,0.0,0.0,14.0,82.0,102.4390243902439,3.0,48.0,0.0,16.0,50.0,96.0,0.0,1.0,0.0,0.0
MS Chapman,60,4,42,142.85714285714286,1,20.0,0,1,0,0,4.0,60.0,1.0,20.0,42.0,142.85714285714286,0.0,1.0,0.0,0.0,4.0,60.0,0.0,1.0,0.0,0.0,1.0,20.0,42.0,142.85714285714286,,,,,,,,,,
TG Southee,117,11,81,144.44444444444446,4,16.714285714285715,0,1,0,0,9.0,83.0,3.0,13.833333333333334,53.0,156.60377358490567,0.0,1.0,0.0,0.0,10.0,104.0,0.0,1.0,0.0,0.0,3.0,14.857142857142858,73.0,142.46575342465752,2.0,34.0,1.0,34.0,28.0,121.42857142857143,0.0,0.0,0.0,0.0
GL Cloete,13,1,12,108.33333333333331,0,13.0,0,0,0,0,1.0,13.0,0.0,13.0,12.0,108.33333333333333,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,108.33333333333333,,,,,,,,,,
C Munro,447,17,324,137.96296296296296,0,26.294117647058822,1,3,3,0,14.0,422.0,0.0,30.142857142857142,303.0,139.27392739273927,0.0,3.0,3.0,0.0,10.0,288.0,0.0,2.0,2.0,0.0,0.0,28.8,221.0,130.31674208144796,3.0,25.0,0.0,8.333333333333334,21.0,119.04761904761905,1.0,0.0,0.0,0.0
Hasan Ali,32,3,15,213.33333333333331,1,16.0,0,0,0,0,1.0,20.0,1.0,0.0,8.0,250.0,0.0,0.0,0.0,0.0,3.0,32.0,0.0,0.0,0.0,0.0,1.0,16.0,15.0,213.33333333333334,2.0,12.0,0.0,6.0,7.0,171.42857142857142,0.0,0.0,0.0,0.0
Ghulam Shabber,114,6,109,104.58715596330276,1,22.8,0,0,1,0,4.0,46.0,0.0,11.5,45.0,102.22222222222223,0.0,0.0,0.0,0.0,6.0,114.0,0.0,0.0,1.0,0.0,1.0,22.8,109.0,104.58715596330275,2.0,68.0,1.0,68.0,64.0,106.25,0.0,0.0,1.0,0.0
TS Chisoro,3,1,5,60.0,1,inf,0,0,0,0,,,,,,,,,,,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,60.0,1.0,3.0,1.0,0.0,5.0,60.0,0.0,0.0,0.0,0.0
AD Russell,75,2,30,250.0,1,75.0,0,2,0,0,,,,,,,,,,,2.0,75.0,0.0,2.0,0.0,0.0,1.0,75.0,30.0,250.0,2.0,75.0,1.0,75.0,30.0,250.0,0.0,2.0,0.0,0.0
D Bishoo,11,2,23,47.82608695652174,1,11.0,0,0,0,0,2.0,11.0,1.0,11.0,23.0,47.82608695652174,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,11.0,23.0,47.82608695652174,,,,,,,,,,
LD Chandimal,68,3,65,104.6153846153846,1,34.0,0,0,1,0,,,,,,,,,,,3.0,68.0,0.0,0.0,1.0,0.0,1.0,34.0,65.0,104.61538461538461,3.0,68.0,1.0,34.0,65.0,104.61538461538461,0.0,0.0,1.0,0.0
EJG Morgan,577,22,361,159.83379501385042,5,33.94117647058823,0,2,5,0,6.0,159.0,1.0,31.8,89.0,178.65168539325842,0.0,0.0,2.0,0.0,10.0,173.0,0.0,0.0,1.0,0.0,1.0,19.22222222222222,120.0,144.16666666666666,16.0,418.0,4.0,34.833333333333336,272.0,153.6764705882353,0.0,2.0,3.0,0.0
V Kohli,992,24,701,141.51212553495006,8,62.0,1,4,9,0,14.0,647.0,8.0,107.83333333333333,420.0,154.04761904761904,1.0,1.0,7.0,0.0,10.0,414.0,1.0,2.0,4.0,0.0,3.0,59.142857142857146,295.0,140.33898305084745,10.0,345.0,0.0,34.5,281.0,122.77580071174377,0.0,3.0,2.0,0.0
AK Perera,55,4,59,93.22033898305084,0,13.75,0,0,0,0,,,,,,,,,,,4.0,55.0,0.0,0.0,0.0,0.0,0.0,13.75,59.0,93.22033898305085,4.0,55.0,0.0,13.75,59.0,93.22033898305085,0.0,0.0,0.0,0.0
FH Edwards,1,1,2,50.0,1,inf,0,0,0,0,1.0,1.0,1.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0,,,,,,,,,,
NR Kumar,337,10,248,135.88709677419354,2,42.125,1,2,3,0,,,,,,,,,,,10.0,337.0,1.0,2.0,3.0,0.0,2.0,42.125,248.0,135.88709677419354,10.0,337.0,2.0,42.125,248.0,135.88709677419354,1.0,2.0,3.0,0.0
Mosaddek Hossain,83,6,68,122.05882352941175,3,27.666666666666668,0,1,0,0,4.0,63.0,2.0,31.5,50.0,126.0,0.0,1.0,0.0,0.0,6.0,83.0,0.0,1.0,0.0,0.0,3.0,27.666666666666668,68.0,122.05882352941177,2.0,20.0,1.0,20.0,18.0,111.11111111111111,0.0,0.0,0.0,0.0
Tamim Iqbal,145,3,124,116.93548387096774,0,48.333333333333336,0,2,1,0,1.0,41.0,0.0,41.0,34.0,120.58823529411765,0.0,1.0,0.0,0.0,3.0,145.0,0.0,2.0,1.0,0.0,0.0,48.333333333333336,124.0,116.93548387096774,2.0,104.0,0.0,52.0,90.0,115.55555555555556,0.0,1.0,1.0,0.0
Ehsan Khan,97,11,77,125.97402597402598,6,19.4,3,0,0,0,,,,,,,,,,,10.0,87.0,3.0,0.0,0.0,0.0,5.0,17.4,68.0,127.94117647058823,11.0,97.0,6.0,19.4,77.0,125.97402597402598,3.0,0.0,0.0,0.0
KL Rahul,775,23,587,132.02725724020442,2,36.90476190476191,3,5,8,0,14.0,450.0,1.0,34.61538461538461,340.0,132.35294117647058,2.0,2.0,5.0,0.0,10.0,207.0,3.0,3.0,1.0,0.0,0.0,20.7,177.0,116.94915254237289,9.0,325.0,1.0,40.625,247.0,131.57894736842104,1.0,3.0,3.0,0.0
MD Gunathilaka,232,11,208,111.53846153846152,0,21.09090909090909,0,1,2,0,1.0,30.0,0.0,30.0,25.0,120.0,0.0,1.0,0.0,0.0,10.0,202.0,0.0,0.0,2.0,0.0,0.0,20.2,183.0,110.38251366120218,10.0,202.0,0.0,20.2,183.0,110.38251366120218,0.0,0.0,2.0,0.0
MP Stoinis,248,11,187,132.62032085561498,4,35.42857142857143,0,1,1,0,1.0,16.0,1.0,0.0,7.0,228.57142857142858,0.0,0.0,0.0,0.0,10.0,247.0,0.0,1.0,1.0,0.0,3.0,35.285714285714285,182.0,135.71428571428572,10.0,232.0,3.0,33.142857142857146,180.0,128.88888888888889,0.0,1.0,1.0,0.0
CS MacLeod,435,13,347,125.36023054755044,2,39.54545454545455,1,4,3,0,,,,,,,,,,,10.0,318.0,1.0,3.0,2.0,0.0,0.0,31.8,242.0,131.40495867768595,13.0,435.0,2.0,39.54545454545455,347.0,125.36023054755043,1.0,4.0,3.0,0.0
CR Ervine,273,9,222,122.97297297297295,1,34.125,0,0,3,0,,,,,,,,,,,9.0,273.0,0.0,0.0,3.0,0.0,1.0,34.125,222.0,122.97297297297297,9.0,273.0,1.0,34.125,222.0,122.97297297297297,0.0,0.0,3.0,0.0
DAJ Bracewell,44,1,31,141.93548387096774,0,44.0,0,1,0,0,1.0,44.0,0.0,44.0,31.0,141.93548387096774,0.0,1.0,0.0,0.0,1.0,44.0,0.0,1.0,0.0,0.0,0.0,44.0,31.0,141.93548387096774,,,,,,,,,,
KH Pandya,98,7,81,120.98765432098766,3,24.5,0,0,0,0,3.0,20.0,1.0,10.0,21.0,95.23809523809524,0.0,0.0,0.0,0.0,7.0,98.0,0.0,0.0,0.0,0.0,3.0,24.5,81.0,120.98765432098766,4.0,78.0,2.0,39.0,60.0,130.0,0.0,0.0,0.0,0.0
JDS Neesham,202,10,120,168.33333333333334,4,33.666666666666664,1,3,0,0,9.0,157.0,3.0,26.166666666666668,102.0,153.92156862745097,1.0,2.0,0.0,0.0,10.0,202.0,1.0,3.0,0.0,0.0,4.0,33.666666666666664,120.0,168.33333333333334,1.0,45.0,1.0,0.0,18.0,250.0,0.0,1.0,0.0,0.0
JM Vince,146,5,111,131.53153153153153,0,29.2,0,2,1,0,1.0,36.0,0.0,36.0,28.0,128.57142857142858,0.0,1.0,0.0,0.0,5.0,146.0,0.0,2.0,1.0,0.0,0.0,29.2,111.0,131.53153153153153,4.0,110.0,0.0,27.5,83.0,132.53012048192772,0.0,1.0,1.0,0.0
Mohammad Mithun,37,4,40,92.5,1,12.333333333333334,0,0,0,0,,,,,,,,,,,4.0,37.0,0.0,0.0,0.0,0.0,1.0,12.333333333333334,40.0,92.5,4.0,37.0,1.0,12.333333333333334,40.0,92.5,0.0,0.0,0.0,0.0
Aizaz Khan,178,14,164,108.53658536585364,1,13.692307692307692,2,2,0,0,,,,,,,,,,,10.0,135.0,1.0,2.0,0.0,0.0,1.0,15.0,115.0,117.3913043478261,14.0,178.0,1.0,13.692307692307692,164.0,108.53658536585365,2.0,2.0,0.0,0.0
Chirag Suri,273,9,231,118.1818181818182,1,34.125,0,2,2,0,6.0,100.0,1.0,20.0,102.0,98.03921568627452,0.0,1.0,0.0,0.0,9.0,273.0,0.0,2.0,2.0,0.0,1.0,34.125,231.0,118.18181818181819,3.0,173.0,0.0,57.666666666666664,129.0,134.10852713178295,0.0,1.0,2.0,0.0
Muhammad Usman,303,15,249,121.6867469879518,2,23.307692307692307,2,2,1,0,10.0,224.0,2.0,28.0,180.0,124.44444444444444,2.0,1.0,1.0,0.0,10.0,236.0,1.0,0.0,1.0,0.0,2.0,29.5,187.0,126.20320855614973,5.0,79.0,0.0,15.8,69.0,114.4927536231884,0.0,1.0,0.0,0.0
SS Cottrell,12,6,18,66.66666666666667,3,4.0,1,0,0,0,2.0,6.0,0.0,3.0,7.0,85.71428571428571,0.0,0.0,0.0,0.0,6.0,12.0,1.0,0.0,0.0,0.0,3.0,4.0,18.0,66.66666666666667,4.0,6.0,3.0,6.0,11.0,54.54545454545455,1.0,0.0,0.0,0.0
AD Mathews,93,6,86,108.13953488372093,0,15.5,0,1,0,0,2.0,33.0,0.0,16.5,33.0,100.0,0.0,0.0,0.0,0.0,6.0,93.0,0.0,1.0,0.0,0.0,0.0,15.5,86.0,108.13953488372093,4.0,60.0,0.0,15.0,53.0,113.20754716981132,0.0,1.0,0.0,0.0
SA Edwards,207,15,149,138.9261744966443,5,20.7,1,2,0,0,4.0,36.0,0.0,9.0,35.0,102.85714285714286,1.0,0.0,0.0,0.0,10.0,134.0,0.0,1.0,0.0,0.0,5.0,26.8,94.0,142.5531914893617,11.0,171.0,5.0,28.5,114.0,150.0,0.0,2.0,0.0,0.0
JM Bairstow,654,23,451,145.0110864745011,3,32.7,2,6,4,0,6.0,118.0,0.0,19.666666666666668,94.0,125.53191489361703,1.0,1.0,1.0,0.0,10.0,279.0,0.0,1.0,2.0,0.0,3.0,39.857142857142854,207.0,134.7826086956522,17.0,536.0,3.0,38.285714285714285,357.0,150.14005602240897,1.0,5.0,3.0,0.0
Umar Akmal,0,2,2,0.0,0,0.0,2,0,0,0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,
Imran Tahir,1,1,1,100.0,1,inf,0,0,0,0,1.0,1.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,,,,,,,,,,
Haris Sohail,120,5,123,97.5609756097561,0,24.0,0,0,2,0,1.0,52.0,0.0,52.0,53.0,98.11320754716981,0.0,0.0,1.0,0.0,5.0,120.0,0.0,0.0,2.0,0.0,0.0,24.0,123.0,97.5609756097561,4.0,68.0,0.0,17.0,70.0,97.14285714285714,0.0,0.0,1.0,0.0
AU Rashid,9,4,14,64.28571428571429,2,4.5,0,0,0,0,2.0,4.0,2.0,0.0,7.0,57.142857142857146,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,2.0,4.5,14.0,64.28571428571429,2.0,5.0,0.0,2.5,7.0,71.42857142857143,0.0,0.0,0.0,0.0
Aamir Kaleem,164,12,170,96.47058823529412,2,16.4,2,1,0,0,,,,,,,,,,,10.0,139.0,2.0,1.0,0.0,0.0,2.0,17.375,140.0,99.28571428571429,12.0,164.0,2.0,16.4,170.0,96.47058823529412,2.0,1.0,0.0,0.0
MK Pandey,171,10,131,130.53435114503816,7,57.0,0,1,1,0,2.0,53.0,2.0,0.0,31.0,170.96774193548387,0.0,1.0,0.0,0.0,10.0,171.0,0.0,1.0,1.0,0.0,7.0,57.0,131.0,130.53435114503816,8.0,118.0,5.0,39.333333333333336,100.0,118.0,0.0,0.0,1.0,0.0
