,Unnamed: 0,date,name,team,opposition,venue,batting_innings,innings_played,previous_average,previous_strike_rate,previous_centuries,previous_fifties,previous_zeros,runs,balls,not_out,previous_thirties,home
1096,1096,2008-08-04,286,14,11,19,,0,0.0,0.0,0,0,0,2,,False,0,0
1097,1097,2008-08-04,287,14,11,19,,0,0.0,0.0,0,0,0,30,,False,0,0
1098,1098,2008-08-04,288,14,11,19,,0,0.0,0.0,0,0,0,24,,False,0,0
1099,1099,2008-08-04,289,14,11,19,,0,0.0,0.0,0,0,0,9,,False,0,0
1100,1100,2008-08-04,290,14,11,19,,0,0.0,0.0,0,0,0,24,,True,0,0
1101,1101,2008-08-04,291,14,11,19,,0,0.0,0.0,0,0,0,0,,False,0,0
1102,1102,2008-08-04,292,14,11,19,,0,0.0,0.0,0,0,0,16,,True,0,0
1103,1103,2008-08-03,293,15,11,19,,0,0.0,0.0,0,0,0,6,,False,0,0
1104,1104,2008-08-03,294,15,11,19,,0,0.0,0.0,0,0,0,13,,False,0,0
1105,1105,2008-08-03,295,15,11,19,,0,0.0,0.0,0,0,0,20,,False,0,0
1106,1106,2008-08-03,296,15,11,19,,0,0.0,0.0,0,0,0,0,,False,0,0
1107,1107,2008-08-03,297,15,11,19,,0,0.0,0.0,0,0,0,37,,True,0,0
1108,1108,2008-08-03,298,15,11,19,,0,0.0,0.0,0,0,0,8,,False,0,0
1109,1109,2008-08-03,299,15,11,19,,0,0.0,0.0,0,0,0,0,,False,0,0
1110,1110,2008-08-03,300,15,11,19,,0,0.0,0.0,0,0,0,0,,False,0,0
1111,1111,2008-08-03,301,15,11,19,,0,0.0,0.0,0,0,0,7,,True,0,0
1112,1112,2008-08-03,148,11,15,19,,1,46.0,127.7777777777778,0,0,0,7,,False,1,0
1113,1113,2008-08-03,149,11,15,19,,2,12.0,64.28571428571428,0,0,0,0,,False,0,0
1114,1114,2008-08-03,150,11,15,19,,2,29.0,79.62962962962962,0,0,0,38,,True,0,0
1115,1115,2008-08-03,154,11,15,19,,2,5.5,78.57142857142857,0,0,1,46,,True,0,0
1116,1116,2008-10-11,43,5,2,23,,9,39.875,117.8727954144621,0,3,2,8,,False,3,0
1117,1117,2008-10-11,271,5,2,23,,1,25.0,125.0,0,0,0,16,,False,0,0
1118,1118,2008-10-11,171,5,2,23,,6,31.5,126.2811311495522,0,0,1,39,,False,2,0
1119,1119,2008-10-11,101,5,2,23,,4,22.33333333333333,115.9342903828198,0,0,0,27,,False,0,0
1120,1120,2008-10-11,302,5,2,23,,0,0.0,0.0,0,0,0,10,,False,0,0
1121,1121,2008-10-11,272,5,2,23,,2,22.0,110.0,0,0,0,20,,True,0,0
1122,1122,2008-10-11,98,5,2,23,,8,27.6,81.83489873222015,0,1,0,0,,False,1,0
1123,1123,2008-10-11,102,5,2,23,,2,4.0,50.0,0,0,1,2,,False,0,0
1124,1124,2008-10-11,303,5,2,23,,0,0.0,0.0,0,0,0,1,,False,0,0
1125,1125,2008-10-11,304,5,2,23,,0,0.0,0.0,0,0,0,1,,False,0,0
1126,1126,2008-10-11,136,2,5,23,,8,21.71428571428572,82.56943919496834,0,0,0,7,,False,2,0
1127,1127,2008-10-11,270,2,5,23,,1,0.0,0.0,0,0,1,6,,False,0,0
1128,1128,2008-10-11,138,2,5,23,,11,72.2,120.1903831723112,0,3,0,20,,False,2,0
1129,1129,2008-10-11,12,2,5,23,,11,22.2,84.63209501919178,0,1,2,24,,False,3,0
1130,1130,2008-10-11,10,2,5,23,,12,31.7,125.2004232723645,0,2,0,42,,True,2,0
1131,1131,2008-10-11,13,2,5,23,,10,17.5,158.7706766917293,0,0,1,1,,False,2,0
1132,1132,2008-10-11,139,2,5,23,,8,13.4,93.6244658119658,0,0,2,11,,False,0,0
1133,1133,2008-10-11,204,2,5,23,,1,12.0,240.0,0,0,0,2,,False,0,0
1134,1134,2008-10-11,197,2,5,23,,3,21.0,114.5238095238095,0,0,0,23,,True,0,0
1135,1135,2009-03-27,237,3,6,5,,4,34.75,134.0726174190606,0,1,0,38,,False,0,0
1136,1136,2009-03-27,18,3,6,5,,11,21.75,88.2020202020202,0,0,3,2,,False,3,0
1137,1137,2009-03-27,20,3,6,5,,13,37.5,101.8518907111429,0,2,1,1,,False,2,0
1138,1138,2009-03-27,238,3,6,5,,5,17.8,102.6923076923077,0,0,1,88,,True,1,0
1139,1139,2009-03-27,23,3,6,5,,9,28.14285714285714,125.3080808080808,0,1,0,0,,False,2,0
1140,1140,2009-03-27,186,3,6,5,,5,23.5,96.34615384615384,0,0,0,0,,False,0,0
1141,1141,2009-03-27,178,3,6,5,,6,45.33333333333334,163.1481481481482,0,0,0,16,,False,2,0
1142,1142,2009-03-27,187,3,6,5,,3,0.0,226.6666666666667,0,0,0,10,,False,0,0
1143,1143,2009-03-27,45,3,6,5,,4,21.33333333333333,112.5324675324675,0,0,0,5,,True,0,0
1144,1144,2009-03-27,265,6,3,5,,1,26.0,100.0,0,0,0,26,,False,0,1
1145,1145,2009-03-27,48,6,3,5,,13,18.83333333333333,78.47103086069039,0,2,4,19,,False,0,1
1146,1146,2009-03-27,88,6,3,5,,12,16.9,74.16159022137283,0,1,3,7,,False,1,1
1147,1147,2009-03-27,147,6,3,5,,9,32.25,97.6828010006462,0,2,2,21,,False,2,1
1148,1148,2009-03-27,266,6,3,5,,2,6.0,40.0,0,0,1,3,,False,0,1
1149,1149,2009-03-27,49,6,3,5,,10,18.55555555555556,83.6484593837535,0,0,0,36,,True,1,1
