,name,overall_runs,overall_innings,overall_balls,strike_rate,overall_notout,overall_average,zeros,thirties,fifties,centries,home_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,away_innings,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate
17,JJ Atkinson,202,12,193,104.66321243523315,0,16.833333333333332,3,2,1,0,2.0,20.0,0.0,10.0,8.0,250.0,1.0,0.0,0.0,0.0,10.0,182.0,0.0,18.2,185.0,98.37837837837836,2.0,2.0,1.0,0.0,10.0,165.0,3.0,1.0,1.0,0.0,0.0,16.5,164.0,100.60975609756098
18,B Regmi,19,6,51,37.25490196078432,1,3.8,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,1.0,3.8,51.0,37.25490196078432,1.0,0.0,0.0,0.0,6.0,19.0,1.0,0.0,0.0,0.0,1.0,3.8,51.0,37.25490196078432
19,RG Sharma,2237,81,1658,134.92159227985522,14,33.38805970149254,6,7,15,4,27.0,712.0,4.0,30.956521739130434,503.0,141.55069582504967,1.0,2.0,1.0,3.0,54.0,1525.0,10.0,34.65909090909091,1155.0,132.03463203463204,5.0,5.0,14.0,1.0,10.0,385.0,1.0,1.0,1.0,2.0,2.0,48.125,262.0,146.94656488549617
20,HH Pandya,271,22,189,143.3862433862434,6,16.9375,2,3,0,0,13.0,121.0,1.0,10.083333333333334,101.0,119.80198019801979,1.0,0.0,0.0,0.0,9.0,150.0,5.0,37.5,88.0,170.45454545454547,1.0,3.0,0.0,0.0,10.0,146.0,0.0,2.0,0.0,0.0,6.0,36.5,82.0,178.04878048780492
21,Imad Wasim,140,18,94,148.93617021276594,7,12.727272727272727,5,0,0,0,4.0,34.0,2.0,17.0,23.0,147.82608695652175,1.0,0.0,0.0,0.0,14.0,106.0,5.0,11.777777777777779,71.0,149.2957746478873,4.0,0.0,0.0,0.0,10.0,54.0,3.0,0.0,0.0,0.0,4.0,9.0,38.0,142.10526315789474
22,DJ Malan,250,5,173,144.50867052023122,0,50.0,0,0,4,0,1.0,78.0,0.0,78.0,46.0,169.56521739130434,0.0,0.0,1.0,0.0,4.0,172.0,0.0,43.0,127.0,135.43307086614172,0.0,0.0,3.0,0.0,5.0,250.0,0.0,0.0,4.0,0.0,0.0,50.0,173.0,144.50867052023122
23,Fakhar Zaman,706,25,516,136.8217054263566,3,32.09090909090909,0,6,4,0,7.0,172.0,2.0,34.4,117.0,147.008547008547,0.0,3.0,0.0,0.0,18.0,534.0,1.0,31.411764705882355,399.0,133.8345864661654,0.0,3.0,4.0,0.0,10.0,371.0,0.0,2.0,3.0,0.0,0.0,37.1,265.0,140.0
24,HG Munsey,449,20,322,139.44099378881987,3,26.411764705882355,4,4,2,0,2.0,25.0,0.0,12.5,26.0,96.15384615384615,1.0,0.0,0.0,0.0,18.0,424.0,3.0,28.266666666666666,296.0,143.24324324324326,3.0,4.0,2.0,0.0,10.0,271.0,1.0,3.0,1.0,0.0,0.0,27.1,192.0,141.14583333333334
25,DM de Silva,215,9,201,106.96517412935324,0,23.88888888888889,0,2,1,0,6.0,167.0,0.0,27.83333333333333,152.0,109.86842105263158,0.0,2.0,1.0,0.0,3.0,48.0,0.0,16.0,49.0,97.95918367346937,0.0,0.0,0.0,0.0,9.0,215.0,0.0,2.0,1.0,0.0,0.0,23.88888888888889,201.0,106.96517412935324
26,JP Duminy,1858,71,1535,121.04234527687296,24,39.53191489361703,6,18,11,0,27.0,594.0,6.0,28.285714285714285,475.0,125.05263157894736,4.0,4.0,4.0,0.0,44.0,1264.0,18.0,48.615384615384606,1060.0,119.24528301886794,2.0,14.0,7.0,0.0,10.0,287.0,0.0,1.0,3.0,0.0,5.0,57.4,213.0,134.74178403755872
